,tweet_id,created_at,retweet_count,favorite_count,stages_of_dogs,source
0,892420643555336193,2017-08-01 16:23:56+00:00,8853,39467,,Twitter for iPhone
1,892177421306343426,2017-08-01 00:17:27+00:00,6514,33819,,Twitter for iPhone
2,891815181378084864,2017-07-31 00:18:03+00:00,4328,25461,,Twitter for iPhone
3,891689557279858688,2017-07-30 15:58:51+00:00,8964,42908,,Twitter for iPhone
4,891327558926688256,2017-07-29 16:00:24+00:00,9774,41048,,Twitter for iPhone
5,891087950875897856,2017-07-29 00:08:17+00:00,3261,20562,,Twitter for iPhone
6,890971913173991426,2017-07-28 16:27:12+00:00,2158,12041,,Twitter for iPhone
7,890729181411237888,2017-07-28 00:22:40+00:00,16716,56848,,Twitter for iPhone
8,890609185150312448,2017-07-27 16:25:51+00:00,4429,28226,,Twitter for iPhone
9,890240255349198849,2017-07-26 15:59:51+00:00,7711,32467,doggo,Twitter for iPhone
10,890006608113172480,2017-07-26 00:31:25+00:00,7624,31166,,Twitter for iPhone
11,889880896479866881,2017-07-25 16:11:53+00:00,5156,28268,,Twitter for iPhone
12,889665388333682689,2017-07-25 01:55:32+00:00,8538,38818,puppo,Twitter for iPhone
13,889638837579907072,2017-07-25 00:10:02+00:00,4735,27672,,Twitter for iPhone
14,889531135344209921,2017-07-24 17:02:04+00:00,2321,15359,puppo,Twitter for iPhone
15,889278841981685760,2017-07-24 00:19:32+00:00,5637,25652,,Twitter for iPhone
16,888917238123831296,2017-07-23 00:22:39+00:00,4709,29611,,Twitter for iPhone
17,888804989199671297,2017-07-22 16:56:37+00:00,4559,26080,,Twitter for iPhone
18,888554962724278272,2017-07-22 00:23:06+00:00,3732,20290,,Twitter for iPhone
19,888078434458587136,2017-07-20 16:49:33+00:00,3653,22201,,Twitter for iPhone
20,887705289381826560,2017-07-19 16:06:48+00:00,5609,30779,,Twitter for iPhone
21,887517139158093824,2017-07-19 03:39:09+00:00,12082,46959,,Twitter for iPhone
22,887473957103951883,2017-07-19 00:47:34+00:00,18781,69871,,Twitter for iPhone
23,887343217045368832,2017-07-18 16:08:03+00:00,10737,34222,,Twitter for iPhone
24,887101392804085760,2017-07-18 00:07:08+00:00,6167,31061,,Twitter for iPhone
25,886983233522544640,2017-07-17 16:17:36+00:00,8084,35859,,Twitter for iPhone
26,886736880519319552,2017-07-16 23:58:41+00:00,3443,12306,,Twitter for iPhone
27,886680336477933568,2017-07-16 20:14:00+00:00,4610,22798,,Twitter for iPhone
28,886366144734445568,2017-07-15 23:25:31+00:00,3316,21524,pupper,Twitter for iPhone
29,886258384151887873,2017-07-15 16:17:19+00:00,6523,28469,,Twitter for iPhone
30,885984800019947520,2017-07-14 22:10:11+00:00,7097,33382,,Twitter for iPhone
31,885528943205470208,2017-07-13 15:58:47+00:00,6683,36689,,Twitter for iPhone
33,885167619883638784,2017-07-12 16:03:00+00:00,4556,22367,,Twitter for iPhone
34,884925521741709313,2017-07-12 00:01:00+00:00,16439,68152,,Twitter for iPhone
35,884876753390489601,2017-07-11 20:47:12+00:00,6096,28514,,Twitter for iPhone
36,884562892145688576,2017-07-11 00:00:02+00:00,5100,24765,,Twitter for iPhone
37,884441805382717440,2017-07-10 15:58:53+00:00,5856,27478,,Twitter for iPhone
38,884162670584377345,2017-07-09 21:29:42+00:00,3128,20771,doggo,Twitter for iPhone
39,883838122936631299,2017-07-09 00:00:04+00:00,3586,22349,,Twitter for iPhone
40,883482846933004288,2017-07-08 00:28:19+00:00,10407,46860,,Twitter for iPhone
41,883360690899218434,2017-07-07 16:22:55+00:00,3825,22986,floofer,Twitter for iPhone
42,883117836046086144,2017-07-07 00:17:54+00:00,6949,37914,,Twitter for iPhone
43,882992080364220416,2017-07-06 15:58:11+00:00,4122,24445,,Twitter for iPhone
44,882762694511734784,2017-07-06 00:46:41+00:00,5134,28903,pupper,Twitter for iPhone
45,882627270321602560,2017-07-05 15:48:34+00:00,6342,28382,,Twitter for iPhone
46,882268110199369728,2017-07-04 16:01:23+00:00,12118,45880,,Twitter for iPhone
47,882045870035918850,2017-07-04 01:18:17+00:00,5203,29900,,Twitter for iPhone
48,881906580714921986,2017-07-03 16:04:48+00:00,3533,24773,,Twitter for iPhone
49,881666595344535552,2017-07-03 00:11:11+00:00,11099,51522,,Twitter for iPhone
50,881268444196462592,2017-07-01 21:49:04+00:00,5358,23501,,Twitter for iPhone
51,880935762899988482,2017-06-30 23:47:07+00:00,2886,17346,,Twitter for iPhone
